table,column,type,format
treatment_overlap_table,SGLT2i_Overlaps_GLP-1RA_-6m_12m,logical,
treatment_overlap_table,SU_Overlaps_GLP-1RA_-6m_12m,logical,
treatment_overlap_table,TZD_Overlaps_GLP-1RA_-6m_12m,logical,
dte_cohort_data,PatientDurableKey,character,
dte_cohort_data,Semaglutide_Exposure,logical,
dte_cohort_data,Semaglutide_Index,date,%Y-%m-%d
dte_cohort_data,Semaglutide_Iplus15,date,%Y-%m-%d
dte_cohort_data,Semaglutide_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_Semaglutide,logical,
dte_cohort_data,Semaglutide_PreIndexEncounterCount,integer,
dte_cohort_data,Semaglutide_PostIndexEncounterCount,integer,
dte_cohort_data,Semaglutide_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,Insulins_Exposure,logical,
dte_cohort_data,Insulins_Index,date,%Y-%m-%d
dte_cohort_data,Insulins_Iplus15,date,%Y-%m-%d
dte_cohort_data,Insulins_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_Insulins,logical,
dte_cohort_data,Insulins_PreIndexEncounterCount,integer,
dte_cohort_data,Insulins_PostIndexEncounterCount,integer,
dte_cohort_data,Insulins_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,DPP-4i_Exposure,logical,
dte_cohort_data,DPP-4i_Index,date,%Y-%m-%d
dte_cohort_data,DPP-4i_Iplus15,date,%Y-%m-%d
dte_cohort_data,DPP-4i_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_DPP-4i,logical,
dte_cohort_data,DPP-4i_PreIndexEncounterCount,integer,
dte_cohort_data,DPP-4i_PostIndexEncounterCount,integer,
dte_cohort_data,DPP-4i_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,GLP-1RA_Exposure,logical,
dte_cohort_data,GLP-1RA_Index,date,%Y-%m-%d
dte_cohort_data,GLP-1RA_Iplus15,date,%Y-%m-%d
dte_cohort_data,GLP-1RA_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_GLP-1RA,logical,
dte_cohort_data,GLP-1RA_PreIndexEncounterCount,integer,
dte_cohort_data,GLP-1RA_PostIndexEncounterCount,integer,
dte_cohort_data,GLP-1RA_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,Metformin_Exposure,logical,
dte_cohort_data,Metformin_Index,date,%Y-%m-%d
dte_cohort_data,Metformin_Iplus15,date,%Y-%m-%d
dte_cohort_data,Metformin_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_Metformin,logical,
dte_cohort_data,Metformin_PreIndexEncounterCount,integer,
dte_cohort_data,Metformin_PostIndexEncounterCount,integer,
dte_cohort_data,Metformin_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,TZD_Exposure,logical,
dte_cohort_data,TZD_Index,date,%Y-%m-%d
dte_cohort_data,TZD_Iplus15,date,%Y-%m-%d
dte_cohort_data,TZD_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_TZD,logical,
dte_cohort_data,TZD_PreIndexEncounterCount,integer,
dte_cohort_data,TZD_PostIndexEncounterCount,integer,
dte_cohort_data,TZD_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,SU_Exposure,logical,
dte_cohort_data,SU_Index,date,%Y-%m-%d
dte_cohort_data,SU_Iplus15,date,%Y-%m-%d
dte_cohort_data,SU_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_SU,logical,
dte_cohort_data,SU_PreIndexEncounterCount,integer,
dte_cohort_data,SU_PostIndexEncounterCount,integer,
dte_cohort_data,SU_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,SGLT2i_Exposure,logical,
dte_cohort_data,SGLT2i_Index,date,%Y-%m-%d
dte_cohort_data,SGLT2i_Iplus15,date,%Y-%m-%d
dte_cohort_data,SGLT2i_Iplus365,date,%Y-%m-%d
dte_cohort_data,MDD_before_SGLT2i,logical,
dte_cohort_data,SGLT2i_PreIndexEncounterCount,integer,
dte_cohort_data,SGLT2i_PostIndexEncounterCount,integer,
dte_cohort_data,SGLT2i_PrePostInclusionCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_Insulins_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_DPP-4i_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_GLP-1RA_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_Metformin_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_SGLT2i_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_SU_AllCriteriaMet,logical,
dte_cohort_data,Semaglutide_vs_TZD_AllCriteriaMet,logical,
dte_cohort_data,Insulins_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,DPP-4i_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,GLP-1RA_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,Metformin_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,SGLT2i_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,SU_vs_Semaglutide_AllCriteriaMet,logical,
dte_cohort_data,TZD_vs_Semaglutide_AllCriteriaMet,logical,
nonswitch_periods,PatientDurableKey,character,
nonswitch_periods,StartConcept,character,
nonswitch_periods,StartDate,date,%Y-%m-%d %H:%M:%S
nonswitch_periods,EndConcept,character,
nonswitch_periods,EndDate,date,%Y-%m-%d %H:%M:%S
psych_proc,PatientDurableKey,character,
psych_proc,OutcomeDate,date,%Y-%m-%d
psych_proc,OutcomeName,character,
psych_proc,CPTCode,integer,
